Field ID,Field name,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag2a_vs_2b1,ag2a_vs_2b1_other,ag2a_vs_2b2_1,ag2a_vs_2c,ag2a_vs_2c_other,ag2a_vs_2d1,ag2a_04,ag2a_07,ag2a_08,ag2a_08_other,gps_coords,ag3a_02_1,ag3a_02_2,ag3a_02_2_1,ag2a_09,ag2a_vs_08a,ag2a_vs_8b,ag2a_vs_8c
M1,Kulogo,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",52MH5CafZg9,2016-03-31T00:00:00Z,1,,23,1,,11,0,1,,,AhqkKxBHa13,0.012,,,0.06,L0400301m1,,
M2,Bunandutu main,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",1Mcd53U8Qb4,2015-10-22T00:00:00Z,1,,71a,1,,71a,1,1,,,AWu7GVJzyg6,0.01,,,0.15,L0200402M2,,
M3,Mukona,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",z9PS7Qjy5L2,2016-04-07T00:00:00Z,1,,31,1,,26,0,1,,,82NkgiXE3i3,0.616,,,0.243,L0401002M3,,
M1,Home garden,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",K28KewnXpk2,2015-08-17T00:00:00Z,1,,71a,1,,71a,0,1,,,3syoxnUott2,0.012,,,0.63,L0300601M1,,
M1,Komoru,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",Lsy3YMkKGP2,2016-07-23T00:00:00Z,1,,43,1,,13,1,1,,,kZaRCCJPSXB,0.05,2.0,1,0.84,L0100101M1,,
M2,Lolomah,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",VHVUj6zT8c6,2016-07-17T00:00:00Z,1,,21,1,,21,0,1,,,MMfuFJAV8ZA,0.12,7.0,1,0.12,L0101203M2,,
M2,Polquolo,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",cTxbn5tVsdA,2016-02-05T00:00:00Z,1,,31,1,,31,1,1,,,skX9QxRzod8,0.4,,,1.16,L0701001m2,,
M4,Bishaki,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",6knFhJg33R9,2016-03-31T00:00:00Z,1,,23,1,,23,0,1,,,BkrQtC2Dyz6,0.01,,,0.208,L0401303M4,,
M1,Polowero,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",PxqUsT3Kg39,2016-02-05T00:00:00Z,1,,42,1,,21,1,1,,,n2vNHeUHVw,0.01,,,0.68,L0701401m1,,
M2,Mulilemela,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",akR9WC1ESX,2016-04-15T00:00:00Z,1,,31,1,,26,0,1,,,mppjXcvbkd9,0.015,,,0.07,L0401201m2,,
M2,Marage,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",Zsq7RscRsJA,2015-12-27T00:00:00Z,1,,21,1,,21,0,1,,,t26PFY1S5T7,0.5,,,0.15,L0600901M2,,
M3,Hefeyeka,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",n4TwADF35,2016-04-13T00:00:00Z,1,,31,1,,23,0,1,,,uQamxxqSTK3,0.02,,,0.09,L0401103m3,,
M1,Olugo,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",VyrUWsmH5zA,2016-07-19T00:00:00Z,1,,21,1,,13,0,1,,,XExVGtexQ67,0.1,3.0,1,0.33,L0100703m1,,
M2,Musisi Gwamuhanda,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",4Ltk7eBsFy2,2016-01-12T00:00:00Z,1,,11,1,,11,0,1,,,P1BWkK6rvX3,0.02,,,0.39,L0600202M2,,
M4,Muwogo,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",nG6geyTvwq7,2015-09-05T00:00:00Z,1,,21,1,,21,0,1,,,ZntvwULEQj4,0.1,,,0.58,L0300703m4,,
M1,Shibalakafu,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",HWUQqfGSi37,2015-10-27T00:00:00Z,1,,31,1,,43,0,1,,,WnwcvcLknR7,0.1,,,0.26,L0200602M1,,
M2,Kumusizi,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",8WWivGcFUz5,2015-07-30T00:00:00Z,1,,43,1,,31,0,1,,,9aPoik6P4U5,0.2,,,1.23,L0301101M2,,
M2,Komolo,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",VyrUWsmH5zA,2016-07-19T00:00:00Z,1,,11,1,,21,0,1,,,CNcZi2UZYM4,0.1,1.0,1,0.67,L0100703m2,,
M5,Wangulu,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",8WWivGcFUz5,2015-07-30T00:00:00Z,1,,71a,1,,71a,0,1,,,bgnRt7g1Dk4,0.05,,,1.23,L0301101M5,,
M1,Agovu,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",aANwrQbMsa3,2016-07-19T00:00:00Z,1,,87,1,,100,0,1,,,m844HD2PnC6,0.025,1.0,1,0.204,L0101402M1,,
M3,Oto Anvu,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",CR6uc2DJjF2,2016-07-23T00:00:00Z,1,,21,1,,13,0,1,,,RQEgXaopLt4,0.048,1.0,1,0.1621,L0100302m3,,
M1,Lacocole,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",SqGfB47Y5q3,2016-07-31T00:00:00Z,1,,11,1,,21,1,1,,,DPQQwJ9Ckw8,1.0,1.0,2,1.274,L0100103m1,,
M1,Gwaruzije,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",6knFhJg33R9,2016-03-31T00:00:00Z,4,,,1,,13,0,2,2,,,6.0,,,,,,
M3,Ebitoke,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",43RqATksCs8,2016-01-12T00:00:00Z,1,,71a,1,,71a,1,1,,,uoP43VPe7VB,0.01,,,0.18,L0600601m3,,
M3,Polonino,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",FiycRUoeZh,2016-01-13T00:00:00Z,1,,42,4,,,1,1,,,fLLPBdYQSRA,0.02,,,2.0,L0700103M3,,
M5,Gitare,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",xJ36NSni7X2,2016-04-24T00:00:00Z,1,,13,1,,31,0,2,2,,,1.0,,,,,,
M1,Home garden,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",mUQGMG1UT55,2015-08-10T00:00:00Z,1,,54,1,,54,2,1,,,V1XxwPEqZd2,0.015,,,2.28,L0300202M1,,
M1,Odwa,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",Te4C6DJXQq6,2016-07-24T00:00:00Z,4,,,1,,31,0,1,,,HfqP67FFBV5,0.01,1.0,1,0.66,L0100102m1,,
M4,Kukubo,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",fvoTDbKYuW5,2015-10-07T00:00:00Z,1,,21,4,,,0,1,,,2wcDjX7u4a5,0.04,,,0.8,L0301002M4,,
M4,Mwogo garden,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",s1YRqRa7dg5,2015-10-14T00:00:00Z,1,,21,1,,21,0,1,,,MZUEBaEKc65,0.18,,,0.04,L0300501M4,,
M1,Abogwa,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",3WbmqA7gbk2,2016-07-13T00:00:00Z,1,,11,1,,13,0,1,,,4sGmjHoMRh9,0.026,1.0,1,0.195,L0101103M1,,
M4,Mutaba,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",akR9WC1ESX,2016-04-15T00:00:00Z,1,,35,1,,31,0,1,,,L8UPpSWx5GB,0.2,,,0.62,L0401201m4,,
M2,Locheli,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",fqBewDc4e89,2016-07-28T00:00:00Z,1,,22,1,,11,0,1,,,LbXWXEezxh4,0.02,1.0,1,0.66,L0101403m2,,
M2,Byeyi,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",wJPLc9G7D59,2016-02-03T00:00:00Z,1,,21,1,,21,0,1,,,38fRk4xZo57,0.15,,,0.36,L0600703m2,,
M1,Polquolo,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",mjcdtjVVCA6,2016-02-06T00:00:00Z,1,,15,1,,43,0,1,,,PkKwhYgtKR7,0.02,,,0.85,L0700101m1,,
M2,Kisabo 2,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",XBSg6BUGH3,2016-01-27T00:00:00Z,1,,24,1,,22,0,1,,,JQBicdkw2f9,0.5,,,0.4,L0600501m2,,
