Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Crop ID,Is Processed,Is Byproduct,ag09_02_1,ag09_03,ag09_03_other,ag09_03_by,ag09_03_by_other,ag09_03_product_name,ag09_04_1,ag09_04_2,ag09_07,ag09_07_2,ag09_05,ag09_06_1,ag09_06_2,ag09_08,ag09_vs_8a,ag09_vs_8b_1,ag09_vs_8b_2,ag09_10,ag09_11
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",3BWtidtw1gB,2015-10-12T00:00:00Z,Maize,true,,11,1,,,,,50.0,1,60.0,1,2,,,,1,10.0,1,1,10000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",U7Y9xmtZk89,2016-07-18T00:00:00Z,Cassava,true,,21,1,,,,,616.0,1,616.0,1,2,,,,2,,,1,123200.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",YTTV9E8N5B7,2016-07-18T00:00:00Z,Cassava,true,,21,1,,,,,50.0,1,50.0,1,2,,,,2,,,1,5000.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",x16vgM9iGq3,2016-02-07T00:00:00Z,Maize,true,,11,1,,,,,480.0,1,480.0,1,2,,,,2,,,1,57600.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",3WbmqA7gbk2,2016-07-13T00:00:00Z,Cassava,true,,21,1,,,,,400.0,1,400.0,1,2,,,,2,,,1,40000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",vsXLkjJ58x2,2016-07-27T00:00:00Z,Cassava,true,,21,1,,,,,130.0,1,130.0,1,2,,,,2,,,1,13000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",XBSg6BUGH3,2016-01-27T00:00:00Z,Maize,true,,11,1,,,,,130.0,1,150.0,1,2,,,,1,20.0,1,1,22500.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",rR4rphkhyt6,2016-07-14T00:00:00Z,Cassava,true,,21,1,,,,,50.0,1,50.0,1,2,,,,2,,,1,5000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",6knFhJg33R9,2016-03-31T00:00:00Z,Sorghum,true,,13,1,,,,,40.0,1,40.0,1,2,,,,2,,,1,4000.0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",43ozar7mLV6,2016-01-27T00:00:00Z,Maize,true,,11,1,,,,,10.0,1,16.0,1,2,,,,1,6.0,1,1,6500.0
