Country,Partner Organization,longitude,latitude,Region,District,Landscape #,Household ID,Household head ID,Enumerator ID,Time interview start,Date of interview,Supervisor ID,Questionnaire inspection date,Clerk ID,Data entry date,fr_01,fr2_10,fr_5,ag12b_vs_09a,ag12a_vs_10,ag12a_vs_10_other,End Time,Survey Instrument
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,05,57,"L07",1tDK7dEA7q4,cTjH21go5k5,p32HA2B1Fw3,2000-01-01 12:51:00 UTC,2016-08-22,Ei6Xo6n7oU4,2016-08-22,Ei6Xo6n7oU4,2016-08-22T00:00:00Z,1,2015,1473245922778.jpg,1,9,,2000-01-01 13:30:00 UTC,paper
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,04,43,"L02",Mq9anduKdR9,WT8S4cuppr6,,2000-01-01 12:20:00 UTC,2016-05-17,i3ZgvUSffF,2016-05-17,i3ZgvUSffF,2016-05-17T00:00:00Z,1,4,1464256987617.jpg,1,9,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,04,43,"L02",zxz5fHgxQr4,MqP4AWKnzu9,,2000-01-01 10:21:00 UTC,2016-05-26,i3ZgvUSffF,2016-05-26,i3ZgvUSffF,2016-05-26T00:00:00Z,1,4,1464877709806.jpg,1,9,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,05,57,"L07",EhXFcHgzLr8,CXdjXb9jZT3,p32HA2B1Fw3,2000-01-01 10:18:00 UTC,2016-08-23,Ei6Xo6n7oU4,2016-08-23,Ei6Xo6n7oU4,2016-08-23T00:00:00Z,1,2015,1473083483565.jpg,2,,,2000-01-01 11:15:00 UTC,paper
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,03,32,"L04",gtdvY5R76A5,qBvTUPEg5e5,,2000-01-01 10:50:00 UTC,2016-01-27,i3ZgvUSffF,2016-01-27,i3ZgvUSffF,2016-01-27T00:00:00Z,1,3,1454167573649.jpg,1,5,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,04,43,"L02",d77n4FzyP99,x3j7asekwj2,,2000-01-01 10:57:00 UTC,2016-04-26,i3ZgvUSffF,2016-04-26,i3ZgvUSffF,2016-04-26T00:00:00Z,1,4,1462440255588.jpg,1,6,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,03,32,"L04",nUikVE2njA5,spGa7qmTRZ3,,2000-01-01 11:48:00 UTC,2016-02-17,i3ZgvUSffF,2016-02-17,i3ZgvUSffF,2016-02-17T00:00:00Z,1,3,1463316341419.jpg,1,5,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,02,27,"L06",e3YsHqYkYK6,PA8tQfED3L8,,2000-01-01 12:18:00 UTC,2015-10-08,fcQUgfywhz3,2015-10-08,i3ZgvUSffF,2015-10-08T00:00:00Z,1,3,1449737162040.jpg,1,9,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,05,57,"L07",3aT11RTk4H8,bsutfYqhVA6,Ei6Xo6n7oU4,2000-01-01 10:30:00 UTC,2016-08-20,Ei6Xo6n7oU4,2016-08-20,Ei6Xo6n7oU4,2016-08-20T00:00:00Z,1,2015,1473155174431.jpg,1,9,,2000-01-01 11:49:00 UTC,paper
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,02,23,"L01",mDLfcyhvBu,nc6NDkymJL8,,2000-01-01 11:45:00 UTC,2016-01-11,MkjLKAJJzD8,2016-01-12,i3ZgvUSffF,2016-01-12T00:00:00Z,1,3,1452781052394.jpg,2,,,,
