"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","source_id","source_name","sourceid","ag12a_02_1","ag12a_02_2","ag12a_02_3","ag12a_02_4","ag12a_02_5","ag12a_02_6","ag12a_03","ag12a_04","ag12a_05"
"51","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","LeYiNjAjKi2","2014-09-09T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,NA,NA,NA,NA,1,2,NA
"52","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","pKpxx6da5u6","2014-08-28T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,2,NA,1,2,NA
"53","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","vyxUdnM5dv5","2014-12-15T00:00:00Z","4","LARGE SCALE FARMER/OUTGROWERS","",1,1,1,2,1,NA,1,2,NA
"54","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","LeYiNjAjKi2","2014-09-07T00:00:00Z","4","LARGE SCALE FARMER/OUTGROWERS","",1,NA,NA,NA,NA,NA,1,2,NA
"55","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","kLYaJ3DYGC7","2014-09-22T00:00:00Z","2","NGO","",1,2,1,2,2,NA,1,2,NA
"56","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","Ny58V5eghz7","2014-12-29T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,1,NA,1,2,NA
"57","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","NZwEq9cA5VB","2014-11-29T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,NA,1,NA,1,2,NA
"58","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","hy4613HYBr3","2015-02-04T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,NA,1,NA,1,2,NA
"59","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","vyxUdnM5dv5","2014-12-15T00:00:00Z","2","NGO","",1,1,1,2,1,NA,1,2,NA
"60","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","GLaBCfmRHT9","2014-12-15T00:00:00Z","4","LARGE SCALE FARMER/OUTGROWERS","",1,1,1,2,1,NA,1,2,NA
"61","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","xJHuYg9HkC4","2014-09-07T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,NA,NA,NA,NA,NA,1,2,NA
"62","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","UmXMMFYwnL4","2014-09-28T00:00:00Z","2","NGO","",1,1,1,NA,1,NA,1,2,NA
"63","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","NZwEq9cA5VB","2014-11-29T00:00:00Z","2","NGO","",1,1,1,NA,1,NA,1,2,NA
"64","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","2Q7MnSV2oJ5","2014-09-06T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",2,2,2,2,2,NA,NA,NA,NA
"65","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","GLaBCfmRHT9","2014-12-15T00:00:00Z","2","NGO","",1,1,1,2,1,NA,1,2,NA
"66","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","2Q7MnSV2oJ5","2014-09-06T00:00:00Z","3","COOPERATIVE","",2,2,2,2,2,NA,NA,NA,NA
"67","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","NZwEq9cA5VB","2014-11-29T00:00:00Z","4","LARGE SCALE FARMER/OUTGROWERS","",1,1,1,NA,1,NA,1,2,NA
"68","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","rzTsdWdr6y3","2014-08-29T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,2,2,2,2,NA,3,2,NA
"69","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MFMymqGXjf8","2014-12-16T00:00:00Z","3a","COMMUNITY BASED FARMER'S ORGANISATIONS (CBOs)/FARMER BASED ORGANISATIONS (FBOs)","",1,1,1,2,1,NA,1,2,NA
"70","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","QFh29fHsCvA","2015-04-28T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,1,NA,2,2,NA
"71","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","2Q7MnSV2oJ5","2014-09-06T00:00:00Z","3a","COMMUNITY BASED FARMER'S ORGANISATIONS (CBOs)/FARMER BASED ORGANISATIONS (FBOs)","",2,2,2,2,2,NA,NA,NA,NA
"72","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","WX9WPcwEjJ9","2015-03-29T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,2,NA,1,2,NA
"73","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","qaB9PRByhQ7","2014-09-27T00:00:00Z","2","NGO","",1,1,1,NA,1,NA,1,2,NA
"74","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","go6Ch5Km3k7","2014-12-16T00:00:00Z","2","NGO","",1,1,1,2,1,NA,1,2,NA
"75","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","arUegScQDF9","2014-12-31T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,2,2,1,NA,1,2,NA
"76","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","GLaBCfmRHT9","2014-12-15T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,1,NA,1,2,NA
"77","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","xJHuYg9HkC4","2014-09-07T00:00:00Z","2","NGO","",1,NA,NA,NA,NA,NA,1,2,NA
"78","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","LFwa12jnrL2","2015-05-27T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,2,NA,1,2,NA
"79","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","k8zEL6BmKHB","2015-04-28T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,1,NA,2,2,NA
"80","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6o1LRkbmmy9","2015-05-21T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,1,NA,1,2,NA
"81","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6rFDY18oMR9","2015-05-27T00:00:00Z","4","LARGE SCALE FARMER/OUTGROWERS","",1,2,2,2,2,NA,1,2,NA
"82","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","njfYPSwX6c8","2015-02-15T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,1,NA,1,2,NA
"83","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6rFDY18oMR9","2015-05-27T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,1,NA,1,2,NA
"84","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","go6Ch5Km3k7","2014-12-16T00:00:00Z","4","LARGE SCALE FARMER/OUTGROWERS","",1,1,1,2,1,NA,1,2,NA
"85","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","2Q7MnSV2oJ5","2014-09-06T00:00:00Z","2","NGO","",2,2,2,2,2,NA,NA,NA,NA
"86","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","go6Ch5Km3k7","2014-12-16T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,1,NA,1,2,NA
"87","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","NZwEq9cA5VB","2014-12-17T00:00:00Z","3a","COMMUNITY BASED FARMER'S ORGANISATIONS (CBOs)/FARMER BASED ORGANISATIONS (FBOs)","",1,1,1,2,1,NA,1,2,NA
"88","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","ArjKWQXjiQ2","2015-01-02T00:00:00Z","3a","COMMUNITY BASED FARMER'S ORGANISATIONS (CBOs)/FARMER BASED ORGANISATIONS (FBOs)","",1,1,1,NA,1,NA,1,2,NA
"89","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,NA,NA,NA,NA,1,2,NA
"90","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","EmjTzkKPcK4","2015-02-09T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,1,NA,1,2,NA
"91","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","RkxgfouGkY6","2015-01-01T00:00:00Z","2","NGO","",1,1,2,2,2,NA,1,2,NA
