Country,Partner Organization,longitude,latitude,Region,District,Landscape #,Household ID,Household head ID,Enumerator ID,Time interview start,Date of interview,Supervisor ID,Questionnaire inspection date,Clerk ID,Data entry date,fr_01,fr2_10,fr_5,ag12b_vs_09a,ag12a_vs_10,ag12a_vs_10_other,End Time,Survey Instrument
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,08,20,"L01",jR5EnTkAqM3,V1U9ncpwe85,,,,b1NCZnXapeA,2015-02-09,intxmu8iSK4,2015-02-09T00:00:00Z,1,2,1423485480673.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,06,12,"L04",dSafpBy1bV9,bn2kfDZYTN,,,,fBG8mpPu1V3,2014-09-02,jPsrT9HYaWB,2014-09-02T00:00:00Z,1,2,1409681483494.jpg,1,1,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,08,13,"L02",SAvMdkgq8K4,RkVv19Xa45B,,,,xexPKpAgiJ2,2014-12-31,jPsrT9HYaWB,2014-12-31T00:00:00Z,1,,1420031327707.jpg,1,5,,,
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,06,12,"L04",zbPhVbZ2hNA,PcbtWTe6iS5,,,,GiqrBSUhcd2,2014-08-26,intxmu8iSK4,2014-08-13T00:00:00Z,1,2,1409073111987.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,06,12,"L04",gRQgL3UsPb6,g2C7GzW7v38,,,,GiqrBSUhcd2,2014-08-23,intxmu8iSK4,2014-08-24T00:00:00Z,1,2,,1,other,Bekwai Commercial Bank,,
GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,08,13,"L02",pEa2FhYEyQ2,oXhg491zw9,,,,xexPKpAgiJ2,2014-12-22,jPsrT9HYaWB,2014-12-22T00:00:00Z,1,,1419248124576.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,08,20,"L01",qqEgat4rGk9,eAJNxWJc5ZB,,,,d12YSFUD4x8,2015-02-16,jPsrT9HYaWB,2015-02-16T00:00:00Z,1,,1424101028876.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,03,01,"L06",BwcbgH6pxh9,88QrLBnzFfA,,,,kNZW9z5PqgB,2014-09-13,,2014-09-13T00:00:00Z,1,2,1410625397403.jpg,1,other,Rural Bank,,
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,01,01,"L05",9avkr7kTx68,3Ski58Zsvc5,,,,b1NCZnXapeA,2015-03-14,intxmu8iSK4,2015-03-14T00:00:00Z,1,1,1432820112772.jpg,1,1,,,
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,01,01,"L05",4DD1mGbS2b6,n8NqgPc8TW8,,,,GiqrBSUhcd2,2015-05-15,jPsrT9HYaWB,2015-05-15T00:00:00Z,1,2,1431688026029.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,08,20,"L01",ZsXLTqgEPA2,CrqxuvRSG12,,,,GiqrBSUhcd2,2015-04-27,jPsrT9HYaWB,2015-04-27T00:00:00Z,1,2,,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,08,13,"L02",MFMymqGXjf8,r3pZWgmJvs,,,,GLjkaGjMaf6,2014-12-16,Nv3qBdibWD5,2014-12-16T00:00:00Z,1,2,1418735640505.jpg,1,other,Bubgu,,
