"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Individual.ID","hh_indid_age","hh_indid_gender","hh_indid_respondent"
"35","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","5rf37agRoT5","2014-08-29T00:00:00Z","nZ8iDxYFZT",33,1,1
"36","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","uF4YRcniT69","2015-04-15T00:00:00Z","S4UTvFiLqe4",12,1,2
"37","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","1tUw8PtDqD2",12,1,NA
"38","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","sSK4YGpVFE3","2015-01-02T00:00:00Z","bNaBWevrjZ9",4,2,2
"39","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","HK4BRArXjD6","2014-12-31T00:00:00Z","qvgFU4PfXq6",8,2,2
"40","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","PpJDFyaTPe6","2015-05-15T00:00:00Z","wuBg5MRLwr7",70,1,2
"41","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","pKpxx6da5u6","2014-08-28T00:00:00Z","VWnHQqLrJw8",45,2,2
"42","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","iR5ETCSgpV5","2014-09-10T00:00:00Z","w7Xj3trfX33",7,2,NA
"43","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","UUj4sWMqYC3","2014-12-29T00:00:00Z","EdgB32QJAE3",6,1,2
"44","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","iR5ETCSgpV5","2014-09-10T00:00:00Z","bY2tVBsUHv2",45,1,NA
"45","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","V42v2Qoi8j3","2015-02-09T00:00:00Z","zxWM3k2BVy9",23,2,2
"46","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","BNLAgvK3aCA","2014-12-17T00:00:00Z","YezYhQUw866",35,1,2
"47","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","7KKdwdFxzG7","2014-09-07T00:00:00Z","4K8vNjHqAw9",50,1,1
"48","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","vz6UQ8NGgEA","2015-02-09T00:00:00Z","6c9g7ha1G7A",17,2,2
"49","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MdadqCNEiL","2014-12-31T00:00:00Z","GJ2iDLhgyR8",10,2,2
"50","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4xFbY5oyU82","2014-09-09T00:00:00Z","jRqJVyT5js5",8,2,NA
"51","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","RkxgfouGkY6","2015-01-01T00:00:00Z","3ahLbqN5wM4",27,1,2
"52","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","JsGWt7k9dz2","2015-04-27T00:00:00Z","WNAqit9ToZB",42,2,2
"53","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","zebc4qh1zU8","2014-08-29T00:00:00Z","UAj3CWpp4W6",14,1,2
"54","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ignYVcEWdh6","2014-09-27T00:00:00Z","UcRGhdNM9aB",7,1,2
