Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Livestock code,Animal name,ag10a_05_1,ag10a_05_2,ag10a_05_3,ag10a_19,ag10a_20,ag10a_21,ag10a_24,ag10a_25,ag10a_26,ag10a_27,ag10a_33,ag10a_34,ag10a_vs_01,ag10a_vs_02,ag10a_vs_03,ag10a_vs_04
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",kyXkjdQuZSA,2016-07-24T00:00:00Z,8,Sheep,2,,,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",GuUwLgiijo2,2015-10-16T00:00:00Z,10,CHICKENS,2,0,,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",B77fdVMrcbB,2015-10-19T00:00:00Z,3,STEERS,2,0,,2,,,1,1,250,1.5,2,,3,6,2,0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",3WbmqA7gbk2,2016-07-13T00:00:00Z,15,Dogs,1,,,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",mpqcPSFDpCB,2016-02-03T00:00:00Z,15,Dogs,3,,,2,,,2,,,,2,,0,0,0,0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",52MH5CafZg9,2016-03-31T00:00:00Z,2,COWS,1,0,0,2,,,2,,,,2,,2,7,0,1
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",9P8HkL34az2,2015-10-22T00:00:00Z,9,PIGS,,4,,1,1,140000.0,2,,,,2,,,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",Xab6HD3Zh47,2016-01-15T00:00:00Z,10,CHICKENS,9,0,,2,,,1,2,0,,2,,0,0,0,0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",YTTV9E8N5B7,2016-07-18T00:00:00Z,6,Female Calves,0,0,0,1,4,3100000.0,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",z9PS7Qjy5L2,2016-04-07T00:00:00Z,16,Other,2,,,2,,,1,1,0,,2,,0,0,0,10
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",K28KewnXpk2,2015-08-17T00:00:00Z,9,PIGS,,3,,1,2,160000.0,2,,,,2,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",3WbmqA7gbk2,2016-07-13T00:00:00Z,7,Goats,5,,0,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",VHVUj6zT8c6,2016-07-17T00:00:00Z,10,Chickens,3,0,,2,,,1,1,0,,2,,0,0,0,10
