Country,Partner Organization,longitude,latitude,Region,District,Landscape #,Household ID,Household head ID,Enumerator ID,Time interview start,Date of interview,Supervisor ID,Questionnaire inspection date,Clerk ID,Data entry date,fr_01,fr2_10,fr_5,ag12b_vs_09a,ag12a_vs_10,ag12a_vs_10_other,End Time,Survey Instrument
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,04,404,"L04",v29v4CgCb9A,tXuwEn22Ne8,,2000-01-01 12:02:00 UTC,2016-03-15,VXXtPYtHb53,2016-04-16,YFPdkT7Y2y8,2016-04-07T00:00:00Z,1,4,1460018948116.jpg,2,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,03,313,"L01",DUyLNfXcu24,tWc46wsXdB4,c4KF8BHGJA8,2000-01-01 00:14:00 UTC,2016-06-02,expyhifP6U2,2016-06-03,c4KF8BHGJA8,2016-07-19T00:00:00Z,1,2015,1468879217883.jpg,1,9,,2000-01-01 01:02:00 UTC,paper
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,04,404,"L04",CW2n61MumoA,aE2nYX4oQe6,,2000-01-01 12:12:00 UTC,2016-03-23,VXXtPYtHb53,2016-04-25,YFPdkT7Y2y8,2016-04-03T00:00:00Z,1,4,1459846736949.jpg,2,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,02,218,"L02",w27bEeu1DR,wYiduAMkYx3,,2000-01-01 14:20:00 UTC,2015-05-14,VXXtPYtHb53,2015-05-15,YFPdkT7Y2y8,2015-11-23T00:00:00Z,1,3,1448281748836.jpg,1,9,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,03,313,"L01",ome4ka94t7,W8DAUkHf3e4,c4KF8BHGJA8,2000-01-01 23:51:00 UTC,2016-06-10,expyhifP6U2,2016-06-11,c4KF8BHGJA8,2016-07-18T00:00:00Z,1,2015,1468865377119.jpg,2,,,2000-01-01 00:33:00 UTC,paper
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,04,409,"L06",i5k7QWkLJw8,o2dXsxTfjYA,,2000-01-01 12:15:00 UTC,2015-10-03,VXXtPYtHb53,2015-10-04,YFPdkT7Y2y8,2016-02-03T00:00:00Z,1,3,1454481956853.jpg,2,,,,
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,04,404,"L04",hnZo2CxSp92,X5CuQVg9ot8,,2000-01-01 00:16:00 UTC,2016-03-24,VXXtPYtHb53,2016-03-25,s8w1kT9jvY7,2016-04-13T00:00:00Z,1,4,1460572485598.jpg,2,,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,04,409,"L06",Jm8YLfzpoy5,1bipxV9cv5A,,2000-01-01 05:01:00 UTC,2015-08-22,VXXtPYtHb53,2015-08-23,s8w1kT9jvY7,2016-01-17T00:00:00Z,1,3,1454014254840.jpg,2,,,,
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,04,408,"L04",4wawPvHomv,BboDbx44yD3,,2000-01-01 11:38:00 UTC,2016-03-18,VXXtPYtHb53,2016-03-19,YFPdkT7Y2y8,2016-03-30T00:00:00Z,1,4,1459346867487.jpg,2,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,03,329,"L07",7yhK3asbcg8,gzmLnTfaJt4,,2000-01-01 12:06:00 UTC,2015-09-19,VXXtPYtHb53,2016-01-20,YFPdkT7Y2y8,2016-01-20T00:00:00Z,1,3,1453290800792.jpg,2,,,,
