"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Crop.type","Field.ID","Field.name","Crop.ID","Crop.name","ag6a_02","ag6a_05","ag6a_08_1","ag6a_08_2","ag6a_vs_09"
"29","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z","fruit","M3","Bomoso","21","Cassava",NA,NA,NA,NA,NA
"30","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","qaB9PRByhQ7","2014-09-27T00:00:00Z","fruit","M4","Groundnut Farm","43","Groundnut",NA,NA,NA,NA,NA
"31","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","9avkr7kTx68","2015-03-14T00:00:00Z","fruit","M1","Drobem","45","Coconut",400,1,22800,NA,2400
"32","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","GEgBv7HAf68","2015-02-24T00:00:00Z","permanent","M2","Zooripuu 2","13","Sorghum",NA,NA,NA,NA,NA
"33","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","oGAiiS5KTH6","2014-09-30T00:00:00Z","fruit","M1","Nkanta 1","11","Maize",NA,NA,NA,NA,NA
"34","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","zbPhVbZ2hNA","2014-08-13T00:00:00Z","fruit","M1","Chief Cocomu","56","Cocoa",NA,NA,NA,NA,NA
"35","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","K7cFANftUD3","2014-09-07T00:00:00Z","permanent","M3","Eugene 3","24","Yams",NA,NA,NA,NA,NA
"36","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","PpJDFyaTPe6","2015-05-15T00:00:00Z","fruit","M3","Navrongo 2","44","Palm Oil",NA,NA,NA,NA,NA
"37","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","AKMWbrcHqo7","2014-09-02T00:00:00Z","permanent","M1","Pantakaw","21","Cassava",NA,NA,NA,NA,NA
"38","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","go6Ch5Km3k7","2014-12-16T00:00:00Z","fruit","M3","Gulenyanga","13","Sorghum",NA,NA,NA,NA,NA
"39","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","zAweUkHmCz8","2015-05-26T00:00:00Z","permanent","M1","Navrongo 1","57","Rubber",1000,2,0,NA,0
"40","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","fyW9nSiREpA","2015-03-29T00:00:00Z","fruit","M1","Etwekor","57","Rubber",NA,NA,NA,NA,NA
"41","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","phfDZ3p9QE5","2014-09-28T00:00:00Z","fruit","M1","Tintare 1","24","Yams",NA,NA,NA,NA,NA
"42","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","2w6GUTeKDd","2014-09-28T00:00:00Z","permanent","M3","Kwanfuom","24","Yams",NA,NA,NA,NA,NA
"43","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","tsyzA3E2k36","2014-08-24T00:00:00Z","fruit","M3","Tanoso 2","11","Maize",NA,NA,NA,NA,NA
