Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Livestock code,Animal name,ag10a_05_1,ag10a_05_2,ag10a_05_3,ag10a_19,ag10a_20,ag10a_21,ag10a_24,ag10a_25,ag10a_26,ag10a_27,ag10a_33,ag10a_34,ag10a_vs_01,ag10a_vs_02,ag10a_vs_03,ag10a_vs_04
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",1aHi48GS6A5,2016-07-01T00:00:00Z,7,GOATS,4,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",ob6Go1epkY4,2016-08-22T00:00:00Z,10,Chickens,6,0,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",GJymWVjaQVB,2016-02-03T00:00:00Z,7,GOATS,5,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",C3b2zHKsNU3,2016-08-24T00:00:00Z,2,Cows,1,0,0,2,,,2,,,,2,,3,7,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",cuVuG6WmhC5,2016-02-11T00:00:00Z,10,CHICKENS,1,,,1,3,12000.0,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",seXpFZmj3a,2016-01-23T00:00:00Z,2,COWS,1,,,1,1,190000.0,2,,,,2,,5,5,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",eSXVTUZDKD3,2016-07-21T00:00:00Z,7,GOATS,5,,,1,2,45000.0,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",jQRmJu3n453,2015-10-02T00:00:00Z,2,COWS,1,1,,2,,,2,,,,2,,6,3,1,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",CGeuGzTDPV5,2015-10-01T00:00:00Z,9,PIGS,,1,,1,1,13000.0,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",CGeuGzTDPV5,2015-10-01T00:00:00Z,2,COWS,,,1,1,1,185000.0,2,,,,2,,7,3,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",nny1kAHD1A6,2015-10-08T00:00:00Z,12,RABBITS,1,,,1,100,200000.0,1,10,0,,2,,,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",sqHntKPZfk6,2016-05-20T00:00:00Z,8,SHEEP,4,,,2,,,2,,,,2,,,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",cZWWUyRwuTA,2016-01-16T00:00:00Z,2,COWS,1,,,1,1,140000.0,2,,,,2,,6,4,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",ydvLLQUM1wA,2016-07-19T00:00:00Z,7,GOATS,3,,,2,,,1,1,0,,2,,,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",XZQvXo5qT34,2015-10-10T00:00:00Z,2,COWS,1,,,1,1,100000.0,2,,,,2,,6,4,,
