Field ID,Field name,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag2a_vs_2b1,ag2a_vs_2b1_other,ag2a_vs_2b2_1,ag2a_vs_2c,ag2a_vs_2c_other,ag2a_vs_2d1,ag2a_04,ag2a_07,ag2a_08,ag2a_08_other,gps_coords,ag3a_02_1,ag3a_02_2,ag3a_02_2_1,ag2a_09,ag2a_vs_08a,ag2a_vs_8b,ag2a_vs_8c
M2,Juu,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",TzXCuVJ5tP5,2015-01-14T00:00:00Z,1,,14,4,,,6,1,,,RTmSd9azcr8,0.25,2.5,1,4.8,M2 LUWAHI,683,1.0
M1,Bondeni,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",84Tt3igkks,2015-08-04T00:00:00Z,1,,11,1,,11,1,1,,,CKb4JnmbbL5,2.5,40.0,1,0.9,M1-kiokole,0,0.0
M3,Mdambanyafu,TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",2tw7sF6jPB4,2015-08-31T00:00:00Z,1,,11,4,,,2,1,,,K6CjoNzB4k3,5.0,1.0,2,1.5,M3 ALFRED,306,1.0
M4,Nyumbani 4,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",8RDtceCXmi7,2014-12-09T00:00:00Z,1,,16,4,,,3,1,,,Ta9qpbUWUw4,0.3,2.0,1,1.6,M4-tobias,6609,1.0
M2,Bondeni,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",Q6XjbVrPyy9,2015-09-09T00:00:00Z,1,,12,4,,,2,1,,,canNonSKf73,0.2,2.0,1,0.8,M2 MPILI,333,1.0
M1,Nyumbani,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",9uri5wypzL4,2015-12-09T00:00:00Z,1,,21,4,,,0,1,,,VPMvwxCVoP2,0.0,0.0,1,0.3,M1 MBWANA,140,1.0
M1,Njacha,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",T5DZd2AUTX7,2015-08-14T00:00:00Z,1,,12,4,,,2,1,,,b61DbkoRFm3,0.8,7.0,1,1.1,M1-kinjombi,0,0.0
M3,Nyumbani,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",KyapRja3Pi6,2014-12-28T00:00:00Z,1,,11,4,,,0,1,,,THv3w96zrt8,0.0,0.0,1,0.2,M3 FILBET,133,1.0
M2,Shamba la Bondeni,TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",4LtjetWmyU6,2014-08-11T00:00:00Z,1,,11,4,,,1,1,,,Ns4Ab2uDiZ3,1.0,10.0,1,0.5,M2-froen,224,1.0
M1,Bondeni,TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",6NYkNXf4fW6,2014-08-12T00:00:00Z,1,,11,1,,26,3,1,,,7TCkXR4XxP3,3.2,2.0,2,5.48,Bondeni,679,1.0
M1,Nyeregete,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",Qrakmh9TAb7,2015-01-14T00:00:00Z,1,,12,4,,,3,1,,,uwWhFDZNhC4,1.1,11.0,1,3.9,M1 LINA,602,1.0
M1,Shamba la nyumbani,TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",ZRuCufE5rt9,2014-08-12T00:00:00Z,1,,11,4,,,3,1,,,nb4UYYaXW65,0.0,0.0,1,9.1,M1-msenga,995,1.0
M1,Nyumbani 1,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",Vuke4bM37hA,2014-12-18T00:00:00Z,1,,12,4,,,3,1,,,fAXg4NNdzB2,0.01,2.0,1,2.2,M1-ngahala,485,1.0
M2,Nyumbani 2,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",utcTs5LcPQ7,2014-12-10T00:00:00Z,1,,11,4,,,7,1,,,tsiWW2Hq9J4,0.002,0.0,1,6.9,M2-milambo,28115,1.0
M1,Shamba la bondeni,TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",QnVf7PaErv,2014-08-12T00:00:00Z,1,,11,4,,,0,1,,,VnFPcayjGa8,1.0,10.0,1,0.91,M1 Mabula,247,1.0
M2,Mabele,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",WEJAJe36mh4,2015-08-10T00:00:00Z,1,,12,4,,,1,1,,,xxxhGQzcvR3,2.7,48.0,1,1.0,M2 BAKARI,252,1.0
M3,Mlimani,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",ZAZu9eYNzaA,2014-12-28T00:00:00Z,1,,11,4,,,2,1,,,GsHzWUfHt42,2.0,30.0,1,2.4,M3 RAISI,434,1.0
M1,Nyumbani,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",ZAZu9eYNzaA,2014-12-28T00:00:00Z,1,,11,4,,,1,1,,,GAutX6yNxc6,0.0,0.0,1,1.0,M1 RAISI,290,1.0
M2,Bondeni,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",73M3dsnzvJ7,2015-08-10T00:00:00Z,1,,11,1,,11,5,1,,,8oReGeUjy73,2.5,55.0,1,1.1,M2-hemed,0,0.0
M1,Shamba la nyumbani,TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",XDQ9iJinQy9,2014-08-11T00:00:00Z,1,,11,4,,,4,1,,,d1bbpZDT2d9,0.1,1.0,1,3.3,M1 Kikoti,515,1.0
M1,Shamba la nyumbani,TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",JsmhauRP8E9,2014-08-14T00:00:00Z,1,,11,1,,26,5,1,,,21KAgbHfZR2,0.1,1.0,1,5.6,M1 Muonge,599,1.0
M2,Shamba la njiani,TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",yPna76R7KH6,2014-08-13T00:00:00Z,1,,13,4,,,2,1,,,JmnLsLo6ge,1.0,10.0,1,1.1,M2 Grace,318,1.0
M1,Shamba la nyumbani,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",pAiSMicbJb9,2014-09-28T00:00:00Z,1,,12,4,,,20,1,,,tn2NhDUq1p4,0.005,0.25,1,19.6,M1 AGUSTINO,2060,1.0
M2,Bondeni,TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",17tw28pAwD3,2015-08-29T00:00:00Z,1,,31,4,,,2,1,,,eXaYp5PZCq7,1.01,32.0,1,2.1,M2 VITARIS,638,1.0
M1,Kilumbo,TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",VTttxxMVpA7,2015-08-07T00:00:00Z,1,,11,4,,,1,1,,,fCX67sdCqQ6,5.0,4.0,2,0.5,M1-katambala,0,0.0
M2,Njacha,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",RfzDYcp8cy2,2015-08-10T00:00:00Z,1,,12,4,,,1,1,,,ktGgemcR6qA,5.36,30.0,1,1.2,M2-taji,0,0.0
M4,Panda,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",9WWgnSHHAA6,2014-12-18T00:00:00Z,4,,,4,,,3,1,,,bqQxuMRRcn9,1.0,10.0,1,5.0,M4-mwana,590,1.0
M1,Ekani,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",qKTwmCQoWz5,2015-08-11T00:00:00Z,1,,46,1,,46,3,1,,,TdZbARDWWc3,0.5,7.0,1,2.9,M1-mtumbi,0,0.0
M1,Shamba la Nyumbani,TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",ZBSFxdohGu7,2014-08-11T00:00:00Z,1,,12,4,,,2,1,,,dN3znFDGxZB,0.001,1.0,1,2.5,M1-kabila,635,1.0
M1,Shamba la Ilole,TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",udWPUwFP172,2014-08-13T00:00:00Z,4,,,1,,26,0,1,,,EwK9yPeoDf9,1.9,19.0,1,0.2,M1 Kitipye,130,1.0
M1,Nyumbani,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",MLdLHWK2Qr,2014-12-18T00:00:00Z,1,,11,4,,,6,1,,,CViHJEJAqEB,0.0,0.0,1,9.9,M1-lusulupia,40212,1.0
M1,Shamba la Mtoni,TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",p5n6hjGyeL,2014-08-12T00:00:00Z,1,,11,4,,,1,1,,,TSUhvjFsvm,1.6,16.0,1,2.3,M1 Kisinini,393,1.0
M1,Shamba la nyumbani,TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",g2ZqebmF5z8,2014-08-13T00:00:00Z,1,,11,4,,,0,1,,,Zviqt9tT447,0.0,0.0,1,1.5,M1 Chonya,359,1.0
M4,Mbugani,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",WjvUqZyb157,2015-09-13T00:00:00Z,1,,12,4,,,2,1,,,VXFV2EFZrv5,12.0,2.5,2,2.1,M4 MOHAMED,366,1.0
M1,Nyumbani,TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",QuoaS1YaSX9,2015-08-31T00:00:00Z,1,,11,4,,,3,1,,,B8RQbNEfioA,0.0,0.0,1,1.2,M1 MARTIN,392,1.0
M2,Shamba la Bondeni,TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",GV2SBh2drm7,2014-08-11T00:00:00Z,1,,12,4,,,4,1,,,XADSEQcjEB5,1.0,30.0,1,2.7,M2-msemwa,447,1.0
M1,Nyumbani,TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",2JxppdNdy1B,2015-08-11T00:00:00Z,1,,11,4,,,1,1,,,PgpxtSQuF82,0.0,0.0,1,1.9,M1-solomoni,0,0.0
M2,Nyumbani 1,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",yE1Xsrhzmk8,2014-10-09T00:00:00Z,1,,11,4,,,1,1,,,odxCnW4Fsb,0.01,1.0,1,1.9,M2-chaula,374,1.0
M2,Bondeni,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",ZAZu9eYNzaA,2014-12-28T00:00:00Z,1,,11,4,,,0,1,,,e7wQEgXsa3B,0.5,10.0,1,0.8,M2 RAISI,229,1.0
M1,Shamba la bondeni,TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",MmsqX496Yo9,2014-08-12T00:00:00Z,1,,11,1,,87,2,1,,,pS6XBbQufo5,1.5,45.0,1,2.9,M1-kibwingu,459,1.0
