"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Season","Crop.ID","Crop.name","ag5a_01","ag5a_02_1","ag5a_02_2","ag5a_03","ag5a_12_1","ag5a_20","ag5a_21","ag5a_21_other","ag5a_22","ag5a_24","ag5a_24_other","ag5a_25","ag5a_26"
"51","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","long_rainy","12","Paddy",2,NA,NA,NA,"",2,"","",NA,"other","Did not harvest paddy in the long rainy season",NA,NA
"52","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","7KKdwdFxzG7","2014-09-07T00:00:00Z","short_rainy","75","",1,6000,NA,4200,"2013-02-01",2,"","",NA,"2","",NA,NA
"53","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","2w6GUTeKDd","2014-09-28T00:00:00Z","long_rainy","94","Egg Plant",1,2400,NA,1600,"2013-07-01",2,"","",NA,"2","",NA,NA
"54","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","7KKdwdFxzG7","2014-09-07T00:00:00Z","long_rainy","44","Palm Oil",NA,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"55","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","short_rainy","45","",NA,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"56","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","13sx7zZ45L7","2015-02-22T00:00:00Z","long_rainy","15","Finger Millet",1,60,NA,100,"2013-12-01",1,"2","",1,"2","",NA,NA
"57","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","uA6dFVY3tr2","2014-09-07T00:00:00Z","long_rainy","21","Cassava",1,150,NA,250,"2013-03-01",1,"1","",2,"6","",NA,NA
"58","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","Jsv9PkxATh9","2014-09-10T00:00:00Z","short_rainy","75","",2,NA,NA,NA,"",2,"","",NA,"","",NA,NA
"59","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","AZbZLMWXXU5","2014-09-03T00:00:00Z","short_rainy","45","",2,NA,NA,NA,"",2,"","",NA,"","",NA,NA
"60","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ignYVcEWdh6","2014-09-27T00:00:00Z","short_rainy","11","",1,405,NA,630,"2014-04-01",2,"","",NA,"2","",NA,NA
"61","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","zAweUkHmCz8","2015-05-26T00:00:00Z","long_rainy","44","Palm Oil",1,200,NA,500,"2013-06-01",2,"","",NA,"2","",NA,NA
"62","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","HYK4pqongQ7","2014-09-19T00:00:00Z","short_rainy","18","",1,50,NA,200,"2013-11-01",2,"","",NA,"2","",NA,NA
"63","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","7KKdwdFxzG7","2014-09-07T00:00:00Z","long_rainy","75","Pineapple",NA,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"64","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","dWWPvz9La34","2014-10-03T00:00:00Z","long_rainy","24","Yams",2,NA,NA,NA,"",2,"","",NA,"","",NA,NA
"65","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","HK4BRArXjD6","2014-12-31T00:00:00Z","long_rainy","24","Yams",2,NA,NA,NA,"",2,"","",NA,"2","",NA,NA
"66","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","XqoC5saQNR5","2014-11-22T00:00:00Z","long_rainy","24","Yams",1,500,NA,500,"2013-12-01",2,"","",NA,"2","",NA,NA
"67","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","zAweUkHmCz8","2015-05-26T00:00:00Z","long_rainy","45","Coconut",1,1400,NA,1960,"2013-08-01",2,"","",NA,"1","",NA,NA
"68","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","arUegScQDF9","2014-12-31T00:00:00Z","long_rainy","24","Yams",1,800,NA,400,"2013-12-01",2,"","",NA,"2","",NA,NA
"69","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","hy4613HYBr3","2015-02-04T00:00:00Z","long_rainy","11","Maize",1,150,NA,300,"2013-12-01",2,"","",NA,"2","",NA,NA
"70","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6rFDY18oMR9","2015-05-27T00:00:00Z","short_rainy","45","",1,400,NA,1200,"2013-08-01",2,"","",NA,"2","",NA,NA
"71","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","SstK2kLetr6","2014-09-12T00:00:00Z","short_rainy","21","",2,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"72","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","tcEkwscfpH4","2014-12-22T00:00:00Z","long_rainy","43","Groundnut",1,22,NA,880,"2014-03-01",2,"","",NA,"2","",NA,NA
"73","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","uA6dFVY3tr2","2014-09-07T00:00:00Z","short_rainy","11","",2,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"74","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","LMzw8JsSze","2014-08-31T00:00:00Z","short_rainy","21","",2,NA,NA,NA,"",2,"","",NA,"2","",NA,NA
