Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Crop type,Field ID,Field name,Crop ID,Crop name,ag6a_02,ag6a_05,ag6a_08_1,ag6a_08_2,ag6a_vs_09
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",TY6c2BvPeq8,2016-07-27T00:00:00Z,fruit,M1,I.POTATO,71a,Banana Food,6,1,0.0,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",voQqwNL5SR4,2016-03-03T00:00:00Z,fruit,M1,IRISHP1,74,Papaw,3,1,150.0,1,15000.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",kwtgXoW7Ei8,2016-07-20T00:00:00Z,fruit,M1,MAIZE,72,Avocado,1,1,120.0,1,12000.0
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",seXpFZmj3a,2016-01-23T00:00:00Z,fruit,M1,MAIZE,72,Avocado,1,1,200.0,1,28000.0
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",tzDJcn6PLMB,2016-01-30T00:00:00Z,permanent,M1,BEANS,60,sugar Cane,40,1,360.0,1,4800.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",5DkfDPaXxW6,2015-11-13T00:00:00Z,fruit,M1,BEANS,80,Guava,1,1,20.0,1,5000.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",rP7DxqhNrW3,2016-07-19T00:00:00Z,fruit,M1,BANANA,71a,Banana Food,45,1,360.0,1,35000.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",z7c7QHaTTe7,2016-05-27T00:00:00Z,permanent,M2,IRISH2,304,Timber,6,1,0.0,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",t8pSXYMtCP,2016-03-01T00:00:00Z,permanent,M1,BEANS,304,Timber,9,1,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",TSZ8yp6UEy4,2016-04-19T00:00:00Z,permanent,M2,I.POTATO,304,Timber,20,1,0.0,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",cuVuG6WmhC5,2016-02-11T00:00:00Z,fruit,M2,MAIZE,72,Avocado,1,1,0.0,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",AoyYjSvsgJA,2016-03-01T00:00:00Z,permanent,M2,MAIZE,304,Timber,2,1,0.0,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",y5bMEWTbk12,2016-05-21T00:00:00Z,fruit,M1,IRISH,81,Blood fruit,9,1,5.0,1,2500.0
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",fSLig1NkSU7,2016-11-16T00:00:00Z,fruit,M1,IRISH POTATO,72,Avocado,1,1,10.0,1,1000.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",2tfKupRSSR9,2016-07-14T00:00:00Z,fruit,M1,BEANS,76,Orange,4,1,5.0,1,400.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",8QSNRiJbU45,2016-08-10T00:00:00Z,fruit,M1,BEANS,72,Avocado,2,1,50.0,1,5000.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",fHLhUbHi259,2016-04-27T00:00:00Z,fruit,M1,I.PATATOES,81,Blood fruit,3,1,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",t8pSXYMtCP,2016-03-01T00:00:00Z,fruit,M1,BEANS,71a,Banana Food,6,1,60.0,1,5000.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",sohyYFGAMr9,2016-08-17T00:00:00Z,fruit,M2,BEANS,852,Lemon,1,1,50.0,1,4000.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",ob6Go1epkY4,2016-08-22T00:00:00Z,fruit,M1,NUTS,72,Avocado,1,1,0.0,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",zywmeprmCJ6,2016-08-24T00:00:00Z,fruit,M1,MAIZE,72,Avocado,1,1,20.0,1,1400.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",to8Gc5JzaT7,2015-10-08T00:00:00Z,fruit,M1,Banana,74,Papaw,2,1,60.0,1,6000.0
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",eVbuv11Jya9,2015-11-20T00:00:00Z,permanent,M2,TEA,55,Tea,420,2,32.0,1,40800.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",x7bE3Pdy8h5,2016-07-23T00:00:00Z,fruit,M1,BANANA,73,Mango,1,1,0.0,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",3aT11RTk4H8,2016-08-20T00:00:00Z,fruit,M1,BEANS,74,Papaw,3,1,50.0,1,5000.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",vC1xGx4WFW,2016-08-12T00:00:00Z,fruit,M2,MAIZE,73,Mango,5,1,0.0,1,0.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",xAHNqyKKrL4,2016-05-24T00:00:00Z,permanent,M1,IRISH,304,Timber,2,1,0.0,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",VM1oxfq9wgB,2015-12-14T00:00:00Z,fruit,M1,MAIZE,71a,Banana Food,50,1,400.0,1,16000.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",Urb5aXE3gA2,2016-05-16T00:00:00Z,fruit,M1,FRUIT,72,Avocado,2,1,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",TYoYR9fk5v3,2016-08-17T00:00:00Z,permanent,M3,CASSAVA,21,Cassava,10,1,200.0,1,14000.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",vdieyWj8obA,2015-11-07T00:00:00Z,fruit,M2,CASSAVA,71b,Banana Beer,200,1,400.0,1,8000.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",x7bE3Pdy8h5,2016-07-23T00:00:00Z,fruit,M1,BANANA,74,Papaw,3,1,0.0,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",oSahYBywkW2,2016-07-25T00:00:00Z,fruit,M1,BEANS,71a,Banana Food,15,1,50.0,1,10000.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",C3b2zHKsNU3,2016-08-24T00:00:00Z,fruit,M1,BEANS,73,Mango,1,1,0.0,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",B8yvkFk2DJ5,2016-07-21T00:00:00Z,fruit,M2,BEANS,71a,Banana Food,2,1,30.0,1,3500.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",oSahYBywkW2,2016-07-25T00:00:00Z,fruit,M1,BEANS,72,Avocado,1,1,50.0,1,5000.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",9yvw1XWDNpA,2016-08-13T00:00:00Z,fruit,M1,MAIZE,72,Avocado,1,1,8.0,1,800.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",LZ29vrnear2,2016-04-23T00:00:00Z,permanent,M1,MAIZE,304,Timber,5,1,0.0,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",WVpeXYVGNq8,2016-08-15T00:00:00Z,permanent,M1,BEANS,304,Timber,1,1,0.0,1,0.0
