Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Field ID,Field name,ag10_vs_1,ag10_vs_2,ag10_vs_2_1,ag10_vs_2_2,ag10_vs_2_3,ag10_vs_2_4,ag10_vs_2_5,ag10_vs_2_6,ag10_vs_2_7,ag10_vs_2_8,ag10_vs_2_9,ag10_vs_2_50,ag10_vs_2_51,ag10_vs_2_other,ag10_vs_3,ag10_vs_3_other
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",6knFhJg33R9,2016-03-31T00:00:00Z,M4,Bishaki,1,8,,,,,,,,t,,,,,1,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",PxqUsT3Kg39,2016-02-05T00:00:00Z,M1,Polowero,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",akR9WC1ESX,2016-04-15T00:00:00Z,M2,Mulilemela,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",Zsq7RscRsJA,2015-12-27T00:00:00Z,M2,Marage,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",n4TwADF35,2016-04-13T00:00:00Z,M3,Hefeyeka,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",VyrUWsmH5zA,2016-07-19T00:00:00Z,M1,Olugo,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",4Ltk7eBsFy2,2016-01-12T00:00:00Z,M2,Musisi Gwamuhanda,1,7,,,,,,,t,,,,,,1,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",nG6geyTvwq7,2015-09-05T00:00:00Z,M4,Muwogo,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",HWUQqfGSi37,2015-10-27T00:00:00Z,M1,Shibalakafu,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",8WWivGcFUz5,2015-07-30T00:00:00Z,M2,Kumusizi,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",VyrUWsmH5zA,2016-07-19T00:00:00Z,M2,Komolo,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",8WWivGcFUz5,2015-07-30T00:00:00Z,M5,Wangulu,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",aANwrQbMsa3,2016-07-19T00:00:00Z,M1,Agovu,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",CR6uc2DJjF2,2016-07-23T00:00:00Z,M3,Oto Anvu,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",SqGfB47Y5q3,2016-07-31T00:00:00Z,M1,Lacocole,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",6knFhJg33R9,2016-03-31T00:00:00Z,M1,Gwaruzije,1,8,,,,,,,,t,,,,,2,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",43RqATksCs8,2016-01-12T00:00:00Z,M3,Ebitoke,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",FiycRUoeZh,2016-01-13T00:00:00Z,M3,Polonino,1,2 7,,t,,,,,t,,,,,,2,
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",xJ36NSni7X2,2016-04-24T00:00:00Z,M5,Gitare,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",mUQGMG1UT55,2015-08-10T00:00:00Z,M1,Home garden,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",Te4C6DJXQq6,2016-07-24T00:00:00Z,M1,Odwa,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",fvoTDbKYuW5,2015-10-07T00:00:00Z,M4,Kukubo,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",s1YRqRa7dg5,2015-10-14T00:00:00Z,M4,Mwogo garden,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",3WbmqA7gbk2,2016-07-13T00:00:00Z,M1,Abogwa,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",akR9WC1ESX,2016-04-15T00:00:00Z,M4,Mutaba,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",fqBewDc4e89,2016-07-28T00:00:00Z,M2,Locheli,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",wJPLc9G7D59,2016-02-03T00:00:00Z,M2,Byeyi,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",mjcdtjVVCA6,2016-02-06T00:00:00Z,M1,Polquolo,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",XBSg6BUGH3,2016-01-27T00:00:00Z,M2,Kisabo 2,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",3f7GFEXbaK,2015-09-07T00:00:00Z,M1,Mulusuku,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",oimuabaAoj4,2015-10-13T00:00:00Z,M2,Samba,2,,,,,,,,,,,,,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",QybMet9zZh8,2016-01-06T00:00:00Z,M3,Kisilimuko,2,,,,,,,,,,,,,,,
