"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Livestock.code","Animal.name","ag10a_05_1","ag10a_05_2","ag10a_05_3","ag10a_19","ag10a_20","ag10a_21","ag10a_24","ag10a_25","ag10a_26","ag10a_27","ag10a_33","ag10a_34","ag10a_vs_01","ag10a_vs_02","ag10a_vs_03","ag10a_vs_04"
"25","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","4DD1mGbS2b6","2015-05-15T00:00:00Z","10","CHICKENS",10,NA,NA,2,NA,NA,1,5,0,NA,2,NA,NA,NA,NA,NA
"26","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","qy7poFPTo22","2015-02-12T00:00:00Z","10","CHICKENS",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","oGAiiS5KTH6","2014-09-30T00:00:00Z","10","CHICKENS",8,NA,NA,2,NA,NA,1,3,0,NA,2,NA,NA,NA,NA,NA
"28","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","K5Z7A224KK7","2014-09-20T00:00:00Z","10","CHICKENS",20,NA,NA,2,NA,NA,1,4,0,NA,2,NA,NA,NA,NA,NA
"29","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","aC1Yp9Vbbb9","2014-12-16T00:00:00Z","2","COWS",5,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"30","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","qaB9PRByhQ7","2014-09-27T00:00:00Z","15","Dogs",6,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"31","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","87qeDKg8sj5","2015-02-09T00:00:00Z","10a","GUINEA FOWL",6,NA,NA,2,NA,NA,1,1,0,NA,2,NA,NA,NA,NA,NA
"32","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","gEi4dQZTGjA","2014-12-29T00:00:00Z","8","SHEEP",14,NA,NA,2,NA,NA,1,1,0,NA,2,NA,NA,NA,NA,NA
"33","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","reM7upJxET6","2014-09-12T00:00:00Z","10","CHICKENS",20,NA,NA,1,2,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","bnNcJ3bknL7","2015-02-17T00:00:00Z","10","CHICKENS",5,NA,NA,2,NA,NA,1,20,0,NA,2,NA,NA,NA,NA,NA
