Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Individual ID,hh_indid_age,hh_indid_gender,hh_indid_respondent
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",4FP6ukTTsQ8,2014-08-11T00:00:00Z,e1S2gs1sBX4,10,1,2
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",9uri5wypzL4,2015-12-09T00:00:00Z,1gyGkSYjRq7,27,1,2
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",T5DZd2AUTX7,2015-08-14T00:00:00Z,w4FtyYoXLi6,40,1,1
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",KyapRja3Pi6,2014-12-28T00:00:00Z,WPJh6g2vLVA,2,2,2
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",BcLx8GwEyf5,2014-08-12T00:00:00Z,22vezrxnKp8,10,2,2
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",sAJq9uruKa3,2014-08-11T00:00:00Z,CrZwamw1LB2,17,1,2
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",Nt5ok1nPNM7,2014-12-18T00:00:00Z,E6AhUEj1UhA,1,2,2
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",65WUiskq7g6,2014-10-04T00:00:00Z,2teALQq5Px3,10,1,2
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",wXNS3oTZiX8,2014-08-12T00:00:00Z,vuuXTQZmtg6,36,2,2
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",65WUiskq7g6,2014-10-04T00:00:00Z,D35CM5hsVGA,10,1,2
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",Qrakmh9TAb7,2015-01-14T00:00:00Z,Pzc9Fbh3Ry8,39,2,1
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",ZRuCufE5rt9,2014-08-12T00:00:00Z,kgDJeSN5yQ4,79,1,1
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",RfzDYcp8cy2,2015-08-10T00:00:00Z,KQcMrTndh6,3,1,2
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",Vuke4bM37hA,2014-12-18T00:00:00Z,rPonSq8JTm9,72,1,1
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",rai72yodTZ7,2014-12-24T00:00:00Z,xVNyMEuFmC3,17,2,2
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",HPHgA99tPJA,2015-01-14T00:00:00Z,LRsRSwUuhh4,20,2,2
