Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Crop type,Field ID,Field name,Crop ID,Crop name,ag6a_02,ag6a_05,ag6a_08_1,ag6a_08_2,ag6a_vs_09
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",KyapRja3Pi6,2014-12-28T00:00:00Z,fruit,M1,Pakula,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",nZ3uwA7syq7,2014-08-12T00:00:00Z,permanent,M2,Shamba la bondeni,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",onwJq3WmHg2,2014-08-12T00:00:00Z,fruit,M1,Shamba la Shuleni,,,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",rai72yodTZ7,2014-12-24T00:00:00Z,fruit,M1,Mtoni,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",G8pqkT9RvZB,2015-01-15T00:00:00Z,permanent,M2,Shamba la ng'ambo,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",xkrLWnDGpw7,2014-08-13T00:00:00Z,permanent,M1,Mgambalenga,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",NnrfSQy1dmA,2014-08-12T00:00:00Z,permanent,M1,Shamba la nyumbani,44,Palm Oil,7,1,0.0,,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",KYf3aU1imH5,2014-12-23T00:00:00Z,permanent,M1,Nyumbani,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",utcTs5LcPQ7,2014-12-10T00:00:00Z,fruit,M4,Nyumbani 4,16,Wheat,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",Br9y98ZGdk8,2014-08-13T00:00:00Z,fruit,M1,Shamba la nyumbani,852,Lemon,1,1,0.0,,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",McAcYh2ZV69,2014-12-10T00:00:00Z,fruit,M1,Nyumbani 1,15,Finger Millet,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",znifEwvA5C4,2014-12-11T00:00:00Z,permanent,M1,Nyumbani,60,sugar Cane,20,1,10.0,,5000.0
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",XDQ9iJinQy9,2014-08-11T00:00:00Z,fruit,M1,Shamba la nyumbani,74,Papaw,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",dtBzhqj3kQA,2014-08-12T00:00:00Z,fruit,M1,Shamba la Nyumbani,73,Mango,1,1,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",KqZvf5fBTQ7,2014-08-12T00:00:00Z,fruit,M1,Nyumbani,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",Vuke4bM37hA,2014-12-18T00:00:00Z,fruit,M2,Nyumbani 2,60,sugar Cane,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",41YTq8opiW8,2014-12-24T00:00:00Z,permanent,M3,Mambini,16,Wheat,,,,,
