"","Country","Partner.Organization","longitude","latitude","Region","District","Landscape..","Household.ID","Household.head.ID","Enumerator.ID","Time.interview.start","Date.of.interview","Supervisor.ID","Questionnaire.inspection.date","Clerk.ID","Data.entry.date","fr_01","fr2_10","fr_5","ag12b_vs_09a","ag12a_vs_10","ag12a_vs_10_other","End.Time","Survey.Instrument"
"20","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","pdf1PrAkhV","4wQWwWfJEK6",NA,NA,NA,"GiqrBSUhcd2","2015-05-15","jPsrT9HYaWB","2015-05-15T00:00:00Z",1,2,"",1,"5","",NA,NA
"21","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","cSN6zpcALp9","JPuXCVvNLD3",NA,NA,NA,"GiqrBSUhcd2","2014-12-29","intxmu8iSK4","2014-12-29T00:00:00Z",1,2,"1419856768947.jpg",1,"other","Agricultural development bank",NA,NA
"22","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,6,12,"L04","tsyzA3E2k36","TyQQGZHkdT7",NA,NA,NA,"oJ7XkQgmjf5","2014-08-24","intxmu8iSK4","2014-08-24T00:00:00Z",1,2,"1408888251090.jpg",2,"","",NA,NA
"23","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","jR5EnTkAqM3","V1U9ncpwe85",NA,NA,NA,"b1NCZnXapeA","2015-02-09","intxmu8iSK4","2015-02-09T00:00:00Z",1,2,"1423485480673.jpg",2,"","",NA,NA
"24","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,6,12,"L04","dSafpBy1bV9","bn2kfDZYTN",NA,NA,NA,"fBG8mpPu1V3","2014-09-02","jPsrT9HYaWB","2014-09-02T00:00:00Z",1,2,"1409681483494.jpg",1,"1","",NA,NA
"25","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","SAvMdkgq8K4","RkVv19Xa45B",NA,NA,NA,"xexPKpAgiJ2","2014-12-31","jPsrT9HYaWB","2014-12-31T00:00:00Z",1,NA,"1420031327707.jpg",1,"5","",NA,NA
"26","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,6,12,"L04","zbPhVbZ2hNA","PcbtWTe6iS5",NA,NA,NA,"GiqrBSUhcd2","2014-08-26","intxmu8iSK4","2014-08-13T00:00:00Z",1,2,"1409073111987.jpg",2,"","",NA,NA
"27","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,6,12,"L04","gRQgL3UsPb6","g2C7GzW7v38",NA,NA,NA,"GiqrBSUhcd2","2014-08-23","intxmu8iSK4","2014-08-24T00:00:00Z",1,2,"",1,"other","Bekwai Commercial Bank",NA,NA
"28","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","pEa2FhYEyQ2","oXhg491zw9",NA,NA,NA,"xexPKpAgiJ2","2014-12-22","jPsrT9HYaWB","2014-12-22T00:00:00Z",1,NA,"1419248124576.jpg",2,"","",NA,NA
"29","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","qqEgat4rGk9","eAJNxWJc5ZB",NA,NA,NA,"d12YSFUD4x8","2015-02-16","jPsrT9HYaWB","2015-02-16T00:00:00Z",1,NA,"1424101028876.jpg",2,"","",NA,NA
